step,time_h,TS,TR,TB,TG,SH,LH,G,RN,TC,UST,ALB,LW
31,  5.16666666666666718E-001,  2.86640060047459883E+002,  2.86146990664121290E+002,  2.87911153054663032E+002,  2.87216591816451171E+002,  5.01533264339581208E+000,  0.00000000000000000E+000,  6.80054202354680513E+001, -6.29891620732544837E+001,  2.87174315001101377E+002,  2.76743804433288831E-001,  0.00000000000000000E+000,  3.82989162073254477E+002
32,  5.33333333333333326E-001,  2.86616191486699620E+002,  2.86115247943966324E+002,  2.87888865667907453E+002,  2.87195374096688909E+002,  4.91808680933780362E+000,  0.00000000000000000E+000,  6.77743865615956906E+001, -6.28553920317955885E+001,  2.87154558000620682E+002,  2.76446343387242222E-001,  0.00000000000000000E+000,  3.82855392031795589E+002
33,  5.50000000000000044E-001,  2.86592643203874218E+002,  2.86083986174606878E+002,  2.87866832805700142E+002,  2.87174286038400567E+002,  4.82360192856828451E+000,  0.00000000000000000E+000,  6.75478202081148709E+001, -6.27233278576628592E+001,  2.87134966602392751E+002,  2.76153484592038867E-001,  0.00000000000000000E+000,  3.82723327857662866E+002
34,  5.66666666666666652E-001,  2.86569406261106053E+002,  2.86053192417312005E+002,  2.87845048132677164E+002,  2.87153326284113064E+002,  4.73176665865218204E+000,  0.00000000000000000E+000,  6.73255668980963833E+001, -6.25929266363102101E+001,  2.87115538067520788E+002,  2.75865236538712810E-001,  0.00000000000000000E+000,  3.82592926636310210E+002
35,  5.83333333333333370E-001,  2.86546472092780391E+002,  2.86022854205116403E+002,  2.87823505537854260E+002,  2.87132493514344389E+002,  4.64247416541629576E+000,  0.00000000000000000E+000,  6.71074784201012449E+001, -6.24641470096404277E+001,  2.87096269753406091E+002,  2.75581581521013586E-001,  0.00000000000000000E+000,  3.82464147009640442E+002
36,  5.99999999999999978E-001,  2.86523832491462258E+002,  2.85992959521385387E+002,  2.87802199125698337E+002,  2.87111786446143242E+002,  4.55562195325966091E+000,  0.00000000000000000E+000,  6.68934123890821439E+001, -6.23369491066002794E+001,  2.87077159109955232E+002,  2.75302481745975769E-001,  0.00000000000000000E+000,  3.82336949106600287E+002
37,  6.16666666666666696E-001,  2.86501479593651652E+002,  2.85963496779917421E+002,  2.87781123207582823E+002,  2.87091203831691473E+002,  4.47111169351466220E+000,  0.00000000000000000E+000,  6.66832320098256588E+001, -6.22112944783209585E+001,  2.87058203675947311E+002,  2.75027883911108550E-001,  0.00000000000000000E+000,  3.82211294478320951E+002
38,  6.33333333333333304E-001,  2.86479405865627712E+002,  2.85934454806340966E+002,  2.87760272293609148E+002,  2.87070744456967134E+002,  4.38884905387884849E+000,  0.00000000000000000E+000,  6.64768058454451989E+001, -6.20871460371716779E+001,  2.87039401075553201E+002,  2.74757722690398443E-001,  0.00000000000000000E+000,  3.82087146037171692E+002
39,  6.50000000000000022E-001,  2.86457604089545441E+002,  2.85905822820630647E+002,  2.87739641084777645E+002,  2.87050407140464756E+002,  4.30874353089421547E+000,  0.00000000000000000E+000,  6.62740075923009329E+001, -6.19644679992670859E+001,  2.87020749015001172E+002,  2.74491923427348405E-001,  0.00000000000000000E+000,  3.81964467999267072E+002
40,  6.66666666666666630E-001,  2.86436067349887537E+002,  2.85877590420609579E+002,  2.87719224465492459E+002,  2.87030190731970606E+002,  4.23070828670139498E+000,  0.00000000000000000E+000,  6.60747158623482562E+001, -6.18432258300610584E+001,  2.87002245279381270E+002,  2.74230404241133430E-001,  0.00000000000000000E+000,  3.81843225830061044E+002
41,  6.83333333333333348E-001,  2.86414789020336286E+002,  2.85849747566334941E+002,  2.87699017496385068E+002,  2.87010094111390742E+002,  4.15465999086310411E+000,  0.00000000000000000E+000,  6.58788139733338198E+001, -6.17233861927499987E+001,  2.86983887729583500E+002,  2.73973077691299693E-001,  0.00000000000000000E+000,  3.81723386192750013E+002
42,  6.99999999999999956E-001,  2.86393762751105442E+002,  2.85822284565285372E+002,  2.87679015407442137E+002,  2.86990116187628303E+002,  4.08051866772387850E+000,  0.00000000000000000E+000,  6.56861897470889176E+001, -6.16049168992505898E+001,  2.86965674299363343E+002,  2.73719852105481554E-001,  0.00000000000000000E+000,  3.81604916899250611E+002
43,  7.16666666666666674E-001,  2.86372982456750037E+002,  2.85795192058283021E+002,  2.87659213591423963E+002,  2.86970255897509389E+002,  4.00820754953994385E+000,  0.00000000000000000E+000,  6.54967353160127459E+001, -6.14877868635572327E+001,  2.86947602992528402E+002,  2.73470632646657719E-001,  0.00000000000000000E+000,  3.81487786863557233E+002
44,  7.33333333333333282E-001,  2.86352442304465626E+002,  2.85768461006093503E+002,  2.87639607597560371E+002,  2.86950512204753693E+002,  3.93765293549947515E+000,  0.00000000000000000E+000,  6.53103469376300154E+001, -6.13719660573144239E+001,  2.86929671880242267E+002,  2.73225322176609609E-001,  0.00000000000000000E+000,  3.81371966057314410E+002
45,  7.50000000000000000E-001,  2.86332136702873299E+002,  2.85742082676656821E+002,  2.87620193125512401E+002,  2.86930884098989566E+002,  3.86878405660435165E+000,  0.00000000000000000E+000,  6.51269248170913784E+001, -6.12574254674596119E+001,  2.86911879098440011E+002,  2.72983821958355022E-001,  0.00000000000000000E+000,  3.81257425467459598E+002
46,  7.66666666666666718E-001,  2.86312060291288390E+002,  2.85716048632907132E+002,  2.87600966019586281E+002,  2.86911370594809569E+002,  3.80153294637570216E+000,  0.00000000000000000E+000,  6.49463729374463838E+001, -6.11441370558092316E+001,  2.86894222845348850E+002,  2.72746032230114954E-001,  0.00000000000000000E+000,  3.81144137055809210E+002
47,  7.83333333333333326E-001,  2.86292207929459153E+002,  2.85690350721144796E+002,  2.87581922263190108E+002,  2.86891970730866319E+002,  3.73583431723443082E+000,  0.00000000000000000E+000,  6.47685988974123319E+001, -6.10320737204718924E+001,  2.86876701379111410E+002,  2.72511852675867694E-001,  0.00000000000000000E+000,  3.81032073720471885E+002
48,  8.00000000000000044E-001,  2.86272574687764461E+002,  2.85664981059928664E+002,  2.87563057973521779E+002,  2.86872683569006313E+002,  3.67162544239796551E+000,  0.00000000000000000E+000,  6.45935137564011654E+001, -6.09212092589895917E+001,  2.86859313015506984E+002,  2.72281182812077915E-001,  0.00000000000000000E+000,  3.80921209258989620E+002
49,  8.16666666666666652E-001,  2.86253155837855786E+002,  2.85639932029458521E+002,  2.87544369396477521E+002,  2.86853508193439382E+002,  3.60884604315045365E+000,  0.00000000000000000E+000,  6.44210318865229397E+001, -6.08115183331106550E+001,  2.86842056125765396E+002,  2.72053922306003670E-001,  0.00000000000000000E+000,  3.80811518333110655E+002
50,  8.33333333333333370E-001,  2.86233946843727551E+002,  2.85615196261421204E+002,  2.87525852901771714E+002,  2.86834443709942946E+002,  3.54743818126339061E+000,  0.00000000000000000E+000,  6.42510708313252934E+001, -6.07029764351057892E+001,  2.86824929134469016E+002,  2.71829971237751156E-001,  0.00000000000000000E+000,  3.80702976435105768E+002
51,  8.49999999999999978E-001,  2.86214943353198692E+002,  2.85590766629275890E+002,  2.87507504978258851E+002,  2.86815489245099741E+002,  3.48734615637553080E+000,  0.00000000000000000E+000,  6.40835511709282457E+001, -6.05955598555521675E+001,  2.86807930517542161E+002,  2.71609230315842776E-001,  0.00000000000000000E+000,  3.80595559855552153E+002
52,  8.66666666666666696E-001,  2.86196141189790922E+002,  2.85566636238956107E+002,  2.87489322229447907E+002,  2.86796643945565847E+002,  3.42851640815732761E+000,  0.00000000000000000E+000,  6.39183963933450485E+001, -6.04892456525086857E+001,  2.86791058800319774E+002,  2.71391601054234710E-001,  0.00000000000000000E+000,  3.80489245652508657E+002
53,  8.83333333333333304E-001,  2.86177536344984674E+002,  2.85542798419967482E+002,  2.87471301369201797E+002,  2.86777906977370208E+002,  3.37089742302415196E+000,  0.00000000000000000E+000,  6.37555327716811888E+001, -6.03840116220130696E+001,  2.86774312555696383E+002,  2.71176985917079172E-001,  0.00000000000000000E+000,  3.80384011622013077E+002
